0.500000 0.000000
0.460000 -0.000294
0.420000 -0.000588
0.380000 -0.000882
0.340000 -0.001176
0.300000 -0.001470
0.260000 -0.001764
0.220000 -0.002058
0.180000 -0.002352
0.140000 -0.002646
0.100000 -0.002940
0.060000 -0.003234
0.020000 -0.003528
-0.020000 -0.003822
-0.060000 -0.004116
-0.100000 -0.004410
-0.140000 -0.004704
-0.180000 -0.004998
-0.201615 -0.005001
-0.219274 -0.004994
-0.236600 -0.004975
-0.253568 -0.004943
-0.270151 -0.004899
-0.286760 -0.004840
-0.302910 -0.004767
-0.318576 -0.004681
-0.333731 -0.004581
-0.348353 -0.004468
-0.362418 -0.004342
-0.375903 -0.004203
-0.388786 -0.004051
-0.401048 -0.003887
-0.412668 -0.003712
-0.423628 -0.003525
-0.433910 -0.003327
-0.443497 -0.003119
-0.452376 -0.002901
-0.460530 -0.002674
-0.467948 -0.002438
-0.474618 -0.002194
-0.480528 -0.001942
-0.485669 -0.001683
-0.490033 -0.001418
-0.493614 -0.001145
-0.496404 -0.000867
-0.498401 -0.000584
-0.499600 -0.000294
-0.500000 0.000000
-0.499600 0.000294
-0.498401 0.000584
-0.496404 0.000867
-0.493614 0.001145
-0.490033 0.001418
-0.485669 0.001683
-0.480528 0.001942
-0.474618 0.002194
-0.467948 0.002438
-0.460530 0.002674
-0.452376 0.002901
-0.443497 0.003119
-0.433910 0.003327
-0.423628 0.003525
-0.412668 0.003712
-0.401048 0.003887
-0.388786 0.004051
-0.375903 0.004203
-0.362418 0.004342
-0.348353 0.004468
-0.333731 0.004581
-0.318576 0.004681
-0.302910 0.004767
-0.286760 0.004840
-0.270151 0.004899
-0.253568 0.004943
-0.236600 0.004975
-0.219274 0.004994
-0.201615 0.005001
-0.180000 0.004998
-0.140000 0.004704
-0.100000 0.004410
-0.060000 0.004116
-0.020000 0.003822
0.020000 0.003528
0.060000 0.003234
0.100000 0.002940
0.140000 0.002646
0.180000 0.002352
0.220000 0.002058
0.260000 0.001764
0.300000 0.001470
0.340000 0.001176
0.380000 0.000882
0.420000 0.000588
0.460000 0.000294
0.500000 0.000000
